,endpoint,login,confirmed,admin
0,static,False,False,False
1,serve_logos,False,False,False
2,indexer.index,True,True,True
3,indexer.suggest,False,False,False
4,indexer.example_route,True,True,True
5,indexer.correct_entry,True,True,True
6,indexer.index_from_url,True,True,True
7,indexer.index_from_manual,True,True,True
8,indexer.run_suggest_url,False,False,False
9,api.return_instance_languages,False,False,False
10,api.return_instance_signature,False,False,False
11,api.return_query_results,False,False,False
12,api.return_pods,True,True,False
13,api.return_pod,True,True,False
14,api.return_pod_delete,True,True,False
15,api.return_urls,True,True,False
16,api.return_specific_url,False,False,False
17,api.post_suggestion,False,False,False
18,search.index,False,False,False
19,orchard.index,False,False,False
20,orchard.get_a_pod,False,False,False
21,orchard.download_file,True,True,False
22,orchard.rename_pod,True,True,False
23,orchard.report,True,True,False
24,orchard.feedback,True,True,False
25,orchard.annotate,True,True,False
26,pages.return_faq,False,False,False
27,pages.return_licenses,False,False,False
28,pages.return_acknowledgements,False,False,False
29,pages.return_privacy,False,False,False
30,pages.return_tos,False,False,False
31,pages.return_contact,False,False,False
32,pages.return_maintenance,False,False,False
33,settings.index,True,False,False
34,settings.toggle_theme,False,False,False
35,settings.delete_url,True,True,False
36,settings.delete_comment,True,True,False
37,settings.delete_account,True,False,False
38,settings.change_email,True,False,False
39,settings.change_username,True,False,False
40,auth.logout,True,False,False
41,auth.login,False,False,False
42,auth.signup,False,False,False
43,auth.confirm_email,True,False,False
44,auth.resend_confirmation,True,False,False
45,auth.password_forgotten,False,False,False
46,auth.password_reset,False,False,False
47,auth.password_change,True,False,False
48,auth.inactive,True,False,False
49,admin.static,True,True,True
50,admin.index,True,True,True
51,pods.action_view,True,True,True
52,pods.ajax_lookup,True,True,True
53,pods.ajax_update,True,True,True
54,pods.create_view,True,True,True
55,pods.delete_view,True,True,True
56,pods.details_view,True,True,True
57,pods.edit_view,True,True,True
58,pods.export,True,True,True
59,pods.index_view,True,True,True
60,urls.action_view,True,True,True
61,urls.ajax_lookup,True,True,True
62,urls.ajax_update,True,True,True
63,urls.create_view,True,True,True
64,urls.delete_view,True,True,True
65,urls.details_view,True,True,True
66,urls.edit_view,True,True,True
67,urls.export,True,True,True
68,urls.index_view,True,True,True
69,user.action_view,True,True,True
70,user.ajax_lookup,True,True,True
71,user.ajax_update,True,True,True
72,user.create_view,True,True,True
73,user.delete_view,True,True,True
74,user.details_view,True,True,True
75,user.edit_view,True,True,True
76,user.export,True,True,True
77,user.index_view,True,True,True
78,personalization.action_view,True,True,True
79,personalization.ajax_lookup,True,True,True
80,personalization.ajax_update,True,True,True
81,personalization.create_view,True,True,True
82,personalization.delete_view,True,True,True
83,personalization.details_view,True,True,True
84,personalization.edit_view,True,True,True
85,personalization.export,True,True,True
86,personalization.index_view,True,True,True
87,suggestions.action_view,True,True,True
88,suggestions.ajax_lookup,True,True,True
89,suggestions.ajax_update,True,True,True
90,suggestions.create_view,True,True,True
91,suggestions.delete_view,True,True,True
92,suggestions.details_view,True,True,True
93,suggestions.edit_view,True,True,True
94,suggestions.export,True,True,True
95,suggestions.index_view,True,True,True
96,serve_manifest,False,False,False
97,serve_sw,False,False,False
98,static_from_root,False,False,False
